,에너지(cal),탄수화물(g),단백질(g),지방(g),당류(g),식이섬유(g),나트륨(mg),,흑미,현미,보리,차조,기장,율무,수수,찹쌀,적두,서리태
148,143.4390244,31.12817073,2.865853659,0.510487805,0.030487805,0.882926829,112,,21.95121951,17.07317073,20.73170732,2.43902439,9.756097561,0,6.097560976,21.95121951,0,0
149,135.3125,29.27375,2.725625,0.49375,0.025,0.9,88.625,,18.75,31.25,18.75,0,0,0,0,31.25,0,0
150,173,37.98888889,3.421111111,0.638888889,0.115555556,1.077777778,152,,0,0,0,0,33.33333333,0,44.44444444,0,22.22222222,0
151,139.6212121,30.18272727,2.807575758,0.517272727,0.023030303,0.875757576,73.87878788,,15.15151515,37.87878788,15.15151515,0,4.545454545,0,0,22.72727273,0,4.545454545
152,150.9,32.9599375,3.0601875,0.4700625,0.049375,0.985,280.1625,,6.875,6.875,55,0,12.5,0,12.5,6.25,0,0
153,158.0882353,34.28676471,3.222941176,0.589705882,0.038235294,1.129411765,169.6764706,,17.64705882,35.29411765,35.29411765,0,2.941176471,2.941176471,2.941176471,0,0,2.941176471
154,157.3076923,34.23326923,3.116346154,0.623846154,0.0625,1.055769231,126.2115385,,11.53846154,3.846153846,11.53846154,0,28.84615385,0,34.61538462,9.615384615,0,0
155,133.8588235,28.98741176,2.704588235,0.468117647,0.027647059,0.910588235,105.1411765,,10.58823529,34.11764706,22.35294118,0,0,0,0,32.94117647,0,0
156,168.40625,36.6640625,3.3178125,0.7471875,0.0890625,1.228125,120.21875,,0,0,0,0,40.625,0,59.375,0,0,0
157,150.5,32.665,3.04,0.535,0.025,0.9,230.5,,0,50,50,0,0,0,0,0,0,0
158,129.9230769,28.21307692,2.647692308,0.402307692,0.034615385,0.938461538,143.7692308,,0,30.76923077,30.76923077,0,0,0,0,38.46153846,0,0
159,133.2238806,28.91522388,2.722985075,0.473432836,0.049253731,1.068656716,139.2537313,,14.92537313,10.44776119,25.37313433,0,0,0,11.94029851,37.31343284,0,0
160,149.6857143,32.27057143,3.026428571,0.615857143,0.019714286,0.912857143,99.82857143,,11.42857143,57.14285714,21.42857143,0,0,0,0,0,0,10
161,153.6625,33.110125,3.027375,0.666125,0.00625,0.79625,60.225,,6.25,75,12.5,3.75,2.5,0,0,0,0,0
162,119.1505376,25.94483871,2.438064516,0.353225806,0.065268817,1.043010753,39.75268817,,6.451612903,0,0,6.451612903,0,0,10.75268817,69.89247312,6.451612903,0
163,141,30.32444444,2.792222222,0.613333333,0.011111111,0.844444444,2.666666667,,11.11111111,66.66666667,0,0,0,0,0,22.22222222,0,0
164,110.1447368,23.96855263,2.278684211,0.258289474,0.046052632,0.984210526,82.42105263,,0,7.894736842,17.10526316,0,0,0,0,75,0,0
165,139.3529412,30.15411765,2.804117647,0.516470588,0.023529412,0.894117647,110.2352941,,17.64705882,35.29411765,23.52941176,0,0,0,0,23.52941176,0,0
166,123.7234043,26.93085106,2.565638298,0.335,0.052340426,1.063829787,108.4787234,,8.510638298,6.382978723,21.27659574,1.063829787,0,1.063829787,1.063829787,55.31914894,2.127659574,3.191489362
167,134,28.8925,2.6775,0.5425,0.01875,0.875,3.125,,50,12.5,0,0,0,0,0,37.5,0,0
168,152.6818182,33.19318182,3.003181818,0.596818182,0.056818182,0.995454545,70.31818182,,0,18.18181818,0,0,31.81818182,0,31.81818182,18.18181818,0,0
169,156.2083333,34.1335,3.143333333,0.510333333,0.05625,1.004166667,267.3083333,,2.5,5.833333333,48.33333333,0,20.83333333,0,20.83333333,1.666666667,0,0
170,151.3770492,33,3.024590164,0.525245902,0.054918033,0.996721311,178.6393443,,0,13.1147541,27.86885246,0,22.95081967,0,22.95081967,13.1147541,0,0
171,140.0197628,30.22905138,2.800632411,0.554505929,0.018774704,0.875098814,67.72727273,,19.76284585,42.68774704,14.22924901,0,0,0,0,23.3201581,0,0
172,168.75,36.9975,3.1975,0.4825,0.0375,0.575,77.25,,0,0,0,0,75,0,25,0,0,0
